timestamp,offset_seconds,frame_count,face_detected,face_confidence,avg_iso,avg_shutter_speed,avg_aperture,avg_wb_temp_kelvin,avg_wb_tint,avg_frame_luminance,avg_saturation_ratio,global_frame_raw_mean,global_frame_raw_std,global_frame_norm_mean,global_frame_norm_std,global_frame_skin_pixels,global_frame_total_pixels,global_frame_skin_ratio,full_face_raw_mean,full_face_raw_std,full_face_norm_mean,full_face_norm_std,full_face_skin_pixels,full_face_total_pixels,full_face_skin_ratio,forehead_raw_mean,forehead_raw_std,forehead_norm_mean,forehead_norm_std,forehead_skin_pixels,forehead_total_pixels,forehead_skin_ratio,left_cheek_raw_mean,left_cheek_raw_std,left_cheek_norm_mean,left_cheek_norm_std,left_cheek_skin_pixels,left_cheek_total_pixels,left_cheek_skin_ratio,right_cheek_raw_mean,right_cheek_raw_std,right_cheek_norm_mean,right_cheek_norm_std,right_cheek_skin_pixels,right_cheek_total_pixels,right_cheek_skin_ratio,nose_raw_mean,nose_raw_std,nose_norm_mean,nose_norm_std,nose_skin_pixels,nose_total_pixels,nose_skin_ratio
2026-04-07T22:50:06.936Z,2.418,2,true,1.000,105,0.013880,1.9,4764,10.7,116.68,0.000000,116.68,1.8177,132.91,2.0706,0,129600,0.0000,135.53,0.8705,154.39,0.9916,184702,245074,0.7537,110.32,0.3297,125.67,0.3756,8014,11606,0.6905,96.05,0.4822,109.41,0.5493,3200,4312,0.7421,117.42,0.0151,133.76,0.0172,46764,68650,0.6812,106.92,0.8983,121.80,1.0233,4962,4994,0.9936
2026-04-07T22:50:09.238Z,4.721,1,true,1.000,105,0.013880,1.9,4764,10.7,118.60,0.000000,118.60,0.0000,135.10,0.0000,0,129600,0.0000,134.42,0.0000,153.12,0.0000,186600,241080,0.7740,118.27,0.0000,134.73,0.0000,7780,11056,0.7037,85.11,0.0000,96.96,0.0000,1244,1460,0.8521,117.28,0.0000,133.60,0.0000,47888,69000,0.6940,108.84,0.0000,123.98,0.0000,5268,5324,0.9895
2026-04-07T22:50:11.577Z,7.059,1,true,1.000,105,0.013880,1.9,4764,10.7,118.33,0.000000,118.33,0.0000,134.79,0.0000,0,129600,0.0000,134.07,0.0000,152.72,0.0000,184588,248004,0.7443,114.14,0.0000,130.02,0.0000,7876,11572,0.6806,93.80,0.0000,106.85,0.0000,3208,4240,0.7566,116.73,0.0000,132.97,0.0000,46516,68464,0.6794,106.61,0.0000,121.44,0.0000,5136,5184,0.9907
2026-04-07T22:50:13.982Z,9.465,1,true,1.000,105,0.013880,1.9,4764,10.7,118.60,0.000000,118.60,0.0000,135.10,0.0000,0,129600,0.0000,134.76,0.0000,153.51,0.0000,180488,236196,0.7641,113.78,0.0000,129.62,0.0000,8072,11284,0.7153,95.71,0.0000,109.02,0.0000,2904,3804,0.7634,117.64,0.0000,134.01,0.0000,46184,68276,0.6764,108.13,0.0000,123.18,0.0000,5120,5168,0.9907
2026-04-07T22:50:16.276Z,11.759,1,true,1.000,105,0.013880,1.9,4764,10.7,118.63,0.000000,118.63,0.0000,135.14,0.0000,0,129600,0.0000,135.60,0.0000,154.47,0.0000,182856,241080,0.7585,114.47,0.0000,130.39,0.0000,6768,10372,0.6525,94.78,0.0000,107.97,0.0000,3124,4156,0.7517,118.13,0.0000,134.57,0.0000,48372,70364,0.6875,108.78,0.0000,123.92,0.0000,5064,5064,1.0000
2026-04-07T22:50:18.641Z,14.124,1,true,1.000,105,0.013880,1.9,4764,10.7,118.13,0.000000,118.13,0.0000,134.57,0.0000,0,129600,0.0000,134.19,0.0000,152.86,0.0000,188324,248004,0.7594,111.91,0.0000,127.48,0.0000,7920,11648,0.6799,94.29,0.0000,107.41,0.0000,3304,4260,0.7756,116.52,0.0000,132.73,0.0000,49892,70516,0.7075,109.58,0.0000,124.82,0.0000,5032,5032,1.0000
2026-04-07T22:50:21.129Z,16.612,1,true,1.000,105,0.013880,1.9,4764,10.7,118.39,0.000000,118.39,0.0000,134.86,0.0000,0,129600,0.0000,134.39,0.0000,153.09,0.0000,184788,248004,0.7451,119.30,0.0000,135.89,0.0000,6240,10092,0.6183,94.09,0.0000,107.18,0.0000,3244,4192,0.7739,118.10,0.0000,134.53,0.0000,48604,69276,0.7016,111.05,0.0000,126.50,0.0000,5276,5276,1.0000
2026-04-07T22:50:23.551Z,19.033,1,true,1.000,105,0.013880,1.9,4764,10.7,118.24,0.000000,118.24,0.0000,134.69,0.0000,0,129600,0.0000,134.79,0.0000,153.55,0.0000,186352,244036,0.7636,121.59,0.0000,138.51,0.0000,9232,12180,0.7580,94.59,0.0000,107.75,0.0000,2564,3496,0.7334,117.94,0.0000,134.35,0.0000,51260,71936,0.7126,111.36,0.0000,126.86,0.0000,4932,4932,1.0000
2026-04-07T22:50:25.962Z,21.444,1,true,1.000,105,0.013880,1.9,4764,10.7,118.59,0.000000,118.59,0.0000,135.09,0.0000,0,129600,0.0000,136.96,0.0000,156.01,0.0000,194064,257048,0.7550,114.11,0.0000,129.99,0.0000,7640,11672,0.6546,96.35,0.0000,109.75,0.0000,3220,4320,0.7454,119.40,0.0000,136.01,0.0000,50900,70564,0.7213,113.97,0.0000,129.83,0.0000,5244,5244,1.0000
2026-04-07T22:50:28.379Z,23.861,1,true,1.000,105,0.013880,1.9,4764,10.7,118.50,0.000000,118.50,0.0000,134.98,0.0000,0,129600,0.0000,135.47,0.0000,154.32,0.0000,190840,250000,0.7634,116.01,0.0000,132.16,0.0000,7484,11328,0.6607,94.52,0.0000,107.67,0.0000,2964,3940,0.7523,118.33,0.0000,134.79,0.0000,49816,70212,0.7095,112.52,0.0000,128.18,0.0000,5080,5080,1.0000
2026-04-07T22:50:30.789Z,26.271,1,true,1.000,105,0.013880,1.9,4764,10.7,118.71,0.000000,118.71,0.0000,135.23,0.0000,0,129600,0.0000,135.70,0.0000,154.59,0.0000,184060,242064,0.7604,113.28,0.0000,129.04,0.0000,8120,11376,0.7138,97.57,0.0000,111.14,0.0000,3004,4048,0.7421,118.18,0.0000,134.63,0.0000,48120,68736,0.7001,109.47,0.0000,124.70,0.0000,5104,5136,0.9938
2026-04-07T22:50:33.121Z,28.604,1,true,1.000,105,0.013880,1.9,4764,10.7,118.66,0.000000,118.66,0.0000,135.17,0.0000,0,129600,0.0000,134.09,0.0000,152.75,0.0000,179644,232324,0.7732,124.12,0.0000,141.39,0.0000,7488,10520,0.7118,100.96,0.0000,115.01,0.0000,3060,4240,0.7217,120.32,0.0000,137.06,0.0000,55112,76540,0.7200,106.35,0.0000,121.14,0.0000,4680,4764,0.9824
2026-04-07T22:50:35.495Z,30.977,1,true,1.000,105,0.013880,1.9,4764,10.7,118.17,0.000000,118.17,0.0000,134.62,0.0000,0,129600,0.0000,133.23,0.0000,151.77,0.0000,186268,244036,0.7633,109.34,0.0000,124.55,0.0000,8172,11344,0.7204,94.56,0.0000,107.71,0.0000,2976,4124,0.7216,115.33,0.0000,131.37,0.0000,51060,71812,0.7110,106.75,0.0000,121.61,0.0000,5028,5044,0.9968
2026-04-07T22:50:37.828Z,33.310,1,true,1.000,105,0.013880,1.9,4764,10.7,118.13,0.000000,118.13,0.0000,134.57,0.0000,0,129600,0.0000,133.65,0.0000,152.24,0.0000,189784,250000,0.7591,112.00,0.0000,127.58,0.0000,8232,11080,0.7430,93.05,0.0000,106.00,0.0000,2680,3724,0.7197,116.12,0.0000,132.28,0.0000,50680,71560,0.7082,107.49,0.0000,122.44,0.0000,5140,5140,1.0000
2026-04-07T22:50:40.256Z,35.738,1,true,1.000,105,0.013880,1.9,4764,10.7,118.35,0.000000,118.35,0.0000,134.82,0.0000,0,129600,0.0000,133.87,0.0000,152.50,0.0000,186800,245024,0.7624,116.17,0.0000,132.34,0.0000,8316,11172,0.7444,95.72,0.0000,109.04,0.0000,2776,3696,0.7511,117.74,0.0000,134.13,0.0000,52172,71764,0.7270,109.06,0.0000,124.23,0.0000,4988,4988,1.0000
2026-04-07T22:50:42.622Z,38.104,1,true,1.000,105,0.013880,1.9,4764,10.7,118.53,0.000000,118.53,0.0000,135.03,0.0000,0,129600,0.0000,133.03,0.0000,151.54,0.0000,184896,240100,0.7701,116.13,0.0000,132.29,0.0000,7988,11888,0.6719,93.09,0.0000,106.05,0.0000,2824,3844,0.7347,116.75,0.0000,133.00,0.0000,50280,71512,0.7031,109.04,0.0000,124.21,0.0000,5244,5268,0.9954
2026-04-07T22:50:44.990Z,40.472,1,true,1.000,105,0.013880,1.9,4764,10.7,118.12,0.000000,118.12,0.0000,134.55,0.0000,0,129600,0.0000,133.85,0.0000,152.47,0.0000,189912,249000,0.7627,115.23,0.0000,131.26,0.0000,8064,10968,0.7352,93.43,0.0000,106.43,0.0000,2740,3708,0.7389,116.72,0.0000,132.97,0.0000,51592,71992,0.7166,110.02,0.0000,125.32,0.0000,5180,5180,1.0000
2026-04-07T22:50:47.382Z,42.864,1,true,1.000,105,0.013880,1.9,4764,10.7,119.02,0.000000,119.02,0.0000,135.58,0.0000,0,129600,0.0000,133.54,0.0000,152.12,0.0000,185020,240100,0.7706,117.81,0.0000,134.20,0.0000,9068,12572,0.7213,92.13,0.0000,104.95,0.0000,2364,3184,0.7425,117.06,0.0000,133.35,0.0000,50836,70596,0.7201,110.88,0.0000,126.31,0.0000,5220,5244,0.9954
2026-04-07T22:50:49.731Z,45.214,1,true,1.000,105,0.013880,1.9,4764,10.7,119.30,0.000000,119.30,0.0000,135.90,0.0000,0,129600,0.0000,133.20,0.0000,151.73,0.0000,185068,238144,0.7771,122.44,0.0000,139.47,0.0000,7948,11664,0.6814,83.04,0.0000,94.60,0.0000,1180,1364,0.8651,116.48,0.0000,132.69,0.0000,49136,70088,0.7011,107.58,0.0000,122.54,0.0000,5236,5292,0.9894
2026-04-07T22:50:52.117Z,47.600,1,true,1.000,105,0.013880,1.9,4764,10.7,115.86,0.000000,115.86,0.0000,131.98,0.0000,0,129600,0.0000,133.32,0.0000,151.87,0.0000,186624,241080,0.7741,118.15,0.0000,134.59,0.0000,7048,10140,0.6951,92.58,0.0000,105.46,0.0000,3048,3936,0.7744,116.21,0.0000,132.38,0.0000,49984,70312,0.7109,105.98,0.0000,120.73,0.0000,5192,5240,0.9908
2026-04-07T22:50:54.498Z,49.980,1,true,1.000,105,0.013880,1.9,4764,10.7,116.10,0.000000,116.10,0.0000,132.25,0.0000,0,129600,0.0000,134.47,0.0000,153.18,0.0000,199836,262144,0.7623,113.95,0.0000,129.81,0.0000,8464,11584,0.7307,83.92,0.0000,95.60,0.0000,1548,1736,0.8917,120.88,0.0000,137.70,0.0000,56612,78264,0.7233,107.36,0.0000,122.30,0.0000,5608,5704,0.9832
2026-04-07T22:50:57.127Z,52.609,1,true,1.000,105,0.013880,1.9,4764,10.7,115.82,0.000000,115.82,0.0000,131.94,0.0000,0,129600,0.0000,132.75,0.0000,151.22,0.0000,200596,264196,0.7593,112.50,0.0000,128.16,0.0000,10040,13688,0.7335,90.13,0.0000,102.67,0.0000,3304,4348,0.7599,112.66,0.0000,128.33,0.0000,53080,74028,0.7170,106.09,0.0000,120.85,0.0000,5276,5288,0.9977
2026-04-07T22:50:59.647Z,55.130,1,true,1.000,105,0.013880,1.9,4764,10.7,115.93,0.000000,115.93,0.0000,132.06,0.0000,0,129600,0.0000,133.23,0.0000,151.77,0.0000,199680,261120,0.7647,112.22,0.0000,127.84,0.0000,10200,13056,0.7812,92.30,0.0000,105.15,0.0000,3064,4272,0.7172,114.66,0.0000,130.61,0.0000,55104,76428,0.7210,106.82,0.0000,121.68,0.0000,5248,5264,0.9970
2026-04-07T22:51:02.205Z,57.687,1,true,1.000,105,0.013880,1.9,4764,10.7,115.91,0.000000,115.91,0.0000,132.04,0.0000,0,129600,0.0000,134.13,0.0000,152.79,0.0000,199520,265224,0.7523,110.35,0.0000,125.71,0.0000,9424,13452,0.7006,93.92,0.0000,106.98,0.0000,3476,4776,0.7278,116.57,0.0000,132.79,0.0000,54344,77176,0.7042,107.00,0.0000,121.89,0.0000,5524,5572,0.9914
